Chargify Subscription Id,Chargify Customer Id,From Plan,To Plan,timestamp,cust_id
4148121,3999863,3319111,2974497,1383915540,6421
4104775,3961126,3319112,2974497,1383550260,6018
4104317,3960683,3319112,2974497,1384160940,6004
4146092,3998039,3319111,2974497,1383620580,5946
4103966,3960350,3319112,2974497,1383124260,5939
4084836,3943483,3319112,2974497,1383934620,5742
4087270,3945534,3319112,2974497,1383758520,5620
4087270,3945534,3319111,3319112,1382793060,5620
4078639,3937812,3319111,2974497,1382613540,5614
4076630,3935962,3319111,2974497,1382620320,5571
4074911,3934503,3319112,2974497,1383830340,5521
4068010,3928498,3319112,2974497,1382441760,5047
4069246,3929564,3319111,2974497,1382459700,5042
4069840,3930082,3319111,2974497,1382959920,4925
4067483,3928033,3319112,2974497,1383628260,4914
4063899,3925131,3319112,2974497,1383565140,4874
4063147,3924416,3319111,2974497,1383123660,4855
4061928,3923397,3319112,3319111,1382336520,4824
4106050,3962278,3319111,2974497,1383150540,4810
4050004,3913064,3319112,2974497,1382061480,4582
4048844,3912069,3319112,2974497,1383079260,4513
4092998,3950284,3319112,2974497,1384016280,4493
4048440,3911720,3319111,2974497,1383247200,4437
4046666,3910120,3319112,2974497,1383145860,4383
4055189,3917624,3319111,2974497,1382945280,4288
4045485,3908988,3319111,2974497,1383220080,4208
4045304,3908832,3319112,3319111,1383854160,4090
4045304,3908832,3319111,3319112,1383854100,4090
4047308,3910751,3319111,2974497,1382111880,4013
4038539,3903173,3319111,2974497,1383112800,4008
4037516,3902314,3319112,2974497,1381874340,4002
4098555,3955235,3319112,2974497,1383561180,3998
4078895,3938046,3319112,2974497,1382978100,3992
4034508,3899584,3319112,3319111,1382956740,3979
4052148,3914953,2974497,3319112,1384010040,3942
4052148,3914953,3319112,2974497,1383326460,3942
4033911,3899019,3319112,3319111,1383127980,3940
4014504,3881734,3319112,3319111,1382442540,3902
4013666,3881023,2974497,3319112,1381953300,3900
4013666,3881023,3319112,2974497,1381513260,3900
4013075,3880512,3319112,2974497,1382383020,3897
4011893,3879456,3319112,2974497,1382110800,3887
4011383,3878969,3319111,2974497,1383134580,3882
4005931,3874150,3319111,2974497,1382567940,3862
4005931,3874150,3319112,3319111,1382567880,3862
4004914,3873197,3319112,2974497,1382385780,3859
4001308,3870120,3319112,2974497,1382539260,3816
3994809,3864469,3319111,2974497,1384090080,3808
3994147,3863856,3319112,2974497,1382798460,3803
3998649,3867742,3319111,2974497,1381746360,3779
3990860,3860836,3319112,2974497,1382278140,3752
3987429,3858092,3319112,2974497,1382357220,3735
3972362,3845408,3319111,2974497,1380906240,3681
3962671,3836638,3319112,3319111,1381835820,3639
3998903,3867952,3319111,2974497,1382455740,3633
4032649,3897915,3319112,2974497,1383705120,3597
4032649,3897915,2974497,3319112,1383589380,3597
4032649,3897915,3319112,2974497,1382831940,3597
3992162,3861951,3319111,2974497,1383579420,3577
3947270,3823617,3319112,2974497,1381326660,3563
3981082,3852802,3319112,2974497,1381924860,3509
3939610,3816878,3319112,2974497,1381317300,3505
3939589,3816860,3319111,2974497,1381331520,3504
3935037,3812945,3319112,2974497,1380814800,3481
3934721,3812672,3319112,2974497,1381411380,3463
3903983,3785424,3319111,2974497,1383646620,3379
3961229,3835333,3319111,2974497,1383252780,3374
3896302,3778447,3319112,2974497,1380810720,3341
3895875,3778051,3319112,3319111,1380808260,3335
3894043,3776466,3319112,2974497,1380679260,3322
3894043,3776466,3319111,3319112,1379480220,3322
3977912,3850347,3319111,2974497,1383239580,3284
3868656,3755032,3319112,2974497,1378995540,3216
3867903,3754380,3319111,2974497,1380130500,3209
3867800,3754289,3319111,2974497,1380130260,3207
3864830,3751679,3319112,2974497,1380195780,3182
3886873,3770221,3319112,2974497,1379590320,3155
3885392,3768914,3319111,3319112,1380205740,3087
3872649,3758531,3319112,2974497,1382620920,3072
3851371,3737672,3319112,2974497,1379028120,3066
3835850,3721768,3319111,2974497,1378380120,2972
3832333,3718399,3319111,2974497,1379415180,2931
3827614,3713751,3319112,2974497,1379072280,2862
3819349,3698488,3319112,2974497,1379087220,2827
3816680,3689603,3319112,2974497,1378402920,2813
3835283,3721226,3319111,2974497,1379961600,2803
3812395,3683092,2974497,3319111,1382527920,2786
3812395,3683092,3319112,2974497,1378998600,2786
3891738,3774457,3319112,2974497,1380641220,2761
3837644,3723478,3319112,2974497,1378465440,2746
3807137,3677499,3319111,2974497,1382884620,2734
3815698,3687697,3319112,2974497,1377847860,2733
3851557,3737977,3319111,2974497,1378725780,2731
3805612,3675971,3319111,2974497,1378725000,2719
4093602,3950830,3319112,2974497,1382960880,2692
3799438,3669830,3319112,2974497,1378824240,2655
3798646,3667774,3319111,2974497,1378916640,2650
3795958,3660427,3319112,2974497,1379626920,2645
3795958,3660427,2974497,3319112,1379626860,2645
3795958,3660427,3319112,2974497,1378447200,2645
3896380,3778519,3319111,2974497,1382339520,2599
3786108,3632732,3319111,2974497,1378221360,2554
3780675,3627816,3319112,3319111,1378181820,2518
3860959,3748129,3319111,2974497,1380057480,2504
3860959,3748129,3319112,3319111,1380057480,2504
3928754,3807186,3319111,2974497,1380111420,2462
3890724,3773526,3319111,2974497,1380556140,2452
3770345,3613925,3319111,2974497,1378050120,2417
3752687,3579346,3319111,2974497,1380723840,2299
3755806,3581992,3319112,2974497,1377760080,2295
3749127,3576289,3319112,2974497,1377266520,2253
3749127,3576289,3319111,3319112,1376422800,2253
3748227,3575479,3319111,2974497,1377548340,2245
3757052,3587242,3319112,3319111,1377805500,2221
3750600,3577505,3319112,2974497,1377661380,2184
3742719,3570913,3319112,3319111,1381419480,2163
3742719,3570913,2974497,3319112,1381419480,2163
3742719,3570913,3319111,2974497,1381154040,2163
3949403,3825404,3319111,3319112,1383128040,2142
3727422,3560175,3319111,2974497,1376056500,2123
3727422,3560175,3319112,3319111,1376056500,2123
3727307,3560069,3319111,2974497,1381578120,2101
3721790,3555728,3319111,3319112,1383932100,2097
3751807,3578497,3319112,2974497,1377780060,2040
3751807,3578497,3319111,3319112,1376490240,2040
3853773,3741219,3319111,2974497,1384192860,2030
3853773,3741219,2974497,3319111,1384190220,2030
3853773,3741219,3319111,2974497,1379533080,2030
3706174,3542784,3319111,2974497,1375800540,2015
3957726,3832376,3319111,2974497,1381859160,1993
3957726,3832376,3319112,3319111,1381859160,1993
3775327,3623160,2974497,3319112,1382254860,1953
3775327,3623160,3319112,2974497,1381483560,1953
3775327,3623160,2974497,3319112,1380200580,1953
3775327,3623160,3319112,2974497,1378114200,1953
3688311,3528001,3319112,2974497,1377204120,1949
3704636,3541558,3319112,2974497,1381232940,1895
3704636,3541558,3319111,3319112,1380760800,1895
3704636,3541558,3319112,3319111,1380760800,1895
3704636,3541558,3319111,3319112,1380760680,1895
3704636,3541558,3319112,3319111,1380759960,1895
3704636,3541558,3319111,3319112,1379975220,1895
3704636,3541558,3319112,3319111,1379975160,1895
3704636,3541558,2974497,3319112,1379958840,1895
3704636,3541558,3319112,2974497,1379947620,1895
3704636,3541558,3319111,3319112,1375730160,1895
3748617,3575831,3319112,2974497,1377600840,1872
3645329,3489675,3319114,2974497,1374678840,1784
3643780,3488163,3319114,3319112,1374572820,1770
3900436,3782036,3319112,3319111,1380649380,1757
3895177,3777425,2974497,3319112,1383914880,1748
3895177,3777425,3319112,2974497,1383914820,1748
3895177,3777425,2974497,3319112,1381432500,1748
3895177,3777425,3319111,2974497,1381406220,1748
3895177,3777425,3319112,3319111,1381404060,1748
3895177,3777425,3319111,3319112,1381404000,1748
4069249,3929567,3319111,2974497,1383742020,1744
3635522,3480504,3319111,3319112,1374668940,1728
3635478,3480466,3319112,2974497,1375389540,1726
3635478,3480466,3319111,3319112,1374568680,1726
3629513,3475047,3319112,2974497,1375656060,1694
3629286,3474820,3319111,2974497,1375656060,1687
3629258,3474794,3319112,2974497,1375656120,1685
3629228,3474767,3319111,2974497,1375656120,1683
3629210,3474749,3319111,3319112,1374238740,1680
3755304,3581616,2974497,3319112,1378679640,1563
3755304,3581616,3319112,2974497,1378679580,1563
3755304,3581616,2974497,3319112,1377563340,1563
3755304,3581616,3319112,2974497,1377562740,1563
3878724,3763586,3319111,2974497,1379687520,1484
3570540,3419703,2974497,3319111,1373324700,1431
3570540,3419703,3319111,2974497,1373324640,1431
3570540,3419703,2974497,3319111,1373324580,1431
3570540,3419703,3319111,2974497,1373324580,1431
3570540,3419703,3319114,3319111,1373324460,1431
3570540,3419703,3319112,3319114,1373324460,1431
3570540,3419703,3319111,3319112,1373324460,1431
3568477,3417758,3319112,3319111,1375733340,1421
3568477,3417758,3319114,3319112,1374693420,1421
3568477,3417758,2974497,3319114,1373457900,1421
3549777,3400072,3319112,2974497,1373443440,1384
3549777,3400072,2974497,3319112,1373232420,1384
3547045,3397246,3319112,2974497,1374577320,1383
3547045,3397246,2974497,3319112,1373232420,1383
3545955,3396219,3319112,2974497,1374591180,1381
3545955,3396219,2974497,3319112,1373232420,1381
3544692,3394784,3319111,3319112,1375629300,1380
3544692,3394784,2974497,3319111,1373232180,1380
3536655,3386803,2974497,3319111,1375106940,1379
3536655,3386803,3319112,2974497,1374849300,1379
3536655,3386803,3319114,3319112,1374694140,1379
3536655,3386803,2974497,3319114,1373239560,1379
3533919,3384128,3319112,2974497,1374664020,1378
3533919,3384128,2974497,3319112,1373232480,1378
3525985,3376393,3319111,2974497,1374854220,1375
3525985,3376393,2974497,3319111,1373232180,1375
3525286,3375705,3319111,2974497,1373989500,1373
3525286,3375705,3319112,3319111,1373989500,1373
3525286,3375705,2974497,3319112,1373232480,1373
3524258,3374750,3319112,2974497,1374832140,1372
3524258,3374750,2974497,3319112,1373232540,1372
3522960,3373560,3319111,3319112,1375123380,1371
3522960,3373560,2974497,3319111,1375093860,1371
3522960,3373560,3319114,2974497,1374056760,1371
3522960,3373560,2974497,3319114,1373389800,1371
3522960,3373560,3319112,2974497,1373389800,1371
3522960,3373560,3319111,3319112,1373389560,1371
3522960,3373560,3319112,3319111,1373389500,1371
3522960,3373560,2974497,3319112,1373232540,1371
3520836,3371560,3319112,3319111,1378308660,1370
3520836,3371560,2974497,3319112,1373232540,1370
3520804,3371529,2974497,3319112,1373232600,1369
3518063,3368982,2974497,3319111,1384254480,1366
3518063,3368982,3319112,2974497,1384254420,1366
3518063,3368982,2974497,3319112,1373232600,1366
3517251,3368221,3319111,2974497,1374775680,1365
3517251,3368221,2974497,3319111,1373232180,1365
3516906,3367885,3319112,2974497,1374590760,1363
3516906,3367885,2974497,3319112,1373232600,1363
3516062,3367106,3319112,2974497,1375069140,1362
3516062,3367106,2974497,3319112,1373232600,1362
3513820,3365000,3319112,2974497,1374530220,1360
3513820,3365000,2974497,3319112,1373232660,1360
3513431,3364616,2974497,3319112,1373232660,1359
3512797,3363998,3319112,2974497,1373995440,1358
3512797,3363998,2974497,3319112,1373232660,1358
3512636,3363845,3319112,2974497,1374665400,1357
3512636,3363845,2974497,3319112,1373232720,1357
3510372,3361733,2974497,3319111,1375110240,1354
3510372,3361733,3319111,2974497,1374587760,1354
3510372,3361733,2974497,3319111,1373232180,1354
3509540,3361131,3319112,2974497,1374529860,1352
3509540,3361131,2974497,3319112,1373232720,1352
3509122,3360851,2974497,3319111,1373232120,1351
3509028,3360746,3319112,2974497,1373990580,1350
3509028,3360746,2974497,3319112,1373232720,1350
3502902,3354145,3319112,2974497,1374594300,1346
3502902,3354145,2974497,3319112,1373232720,1346
3502901,3354144,3319112,2974497,1373399220,1345
3502901,3354144,2974497,3319112,1373232780,1345
3502175,3353461,3319114,2974497,1373474940,1341
3502175,3353461,2974497,3319114,1373239380,1341
3501948,3353241,3319112,2974497,1373650320,1339
3501948,3353241,2974497,3319112,1373232780,1339
3501729,3353021,3319112,2974497,1373452200,1338
3501729,3353021,2974497,3319112,1373232780,1338
3501692,3352980,3319112,2974497,1374567600,1337
3501692,3352980,2974497,3319112,1373232780,1337
3501503,3352802,3319111,2974497,1377515040,1336
3501503,3352802,2974497,3319111,1373232120,1336
3499127,3350884,3319112,2974497,1374592500,1334
3499127,3350884,2974497,3319112,1373232840,1334
3498904,3350675,3319111,2974497,1374595980,1333
3498904,3350675,2974497,3319111,1373232120,1333
3498429,3350205,3319111,2974497,1374589560,1332
3498429,3350205,2974497,3319111,1374572340,1332
3498429,3350205,3319112,2974497,1374533760,1332
3498429,3350205,2974497,3319112,1373232840,1332
3495891,3348303,3319111,2974497,1374599640,1330
3495891,3348303,2974497,3319111,1373232120,1330
3495661,3348092,3319112,2974497,1377266340,1329
3495661,3348092,2974497,3319112,1373232900,1329
3494944,3347435,3319112,2974497,1374583560,1328
3494944,3347435,2974497,3319112,1373232960,1328
3494622,3347201,3319112,2974497,1374568380,1327
3494622,3347201,2974497,3319112,1373232960,1327
3494463,3347074,3319112,2974497,1378981920,1325
3494463,3347074,2974497,3319112,1373232960,1325
3492603,3345284,3319111,2974497,1374600660,1321
3492603,3345284,2974497,3319111,1373232120,1321
3491883,3344582,3319112,2974497,1374595440,1320
3491883,3344582,2974497,3319112,1373232960,1320
3489224,3342065,3319112,2974497,1374590460,1316
3489224,3342065,2974497,3319112,1373232960,1316
3487851,3340823,3319111,2974497,1375670340,1314
3487851,3340823,2974497,3319111,1375670340,1314
3487851,3340823,3319111,2974497,1374585720,1314
3487851,3340823,2974497,3319111,1373232060,1314
3487018,3340008,3319111,2974497,1377252180,1313
3487018,3340008,3319112,3319111,1377251760,1313
3487018,3340008,2974497,3319112,1373233020,1313
3486455,3339470,3319112,2974497,1374600540,1312
3486455,3339470,2974497,3319112,1373233020,1312
3486398,3339418,3319112,2974497,1376656860,1311
3486398,3339418,2974497,3319112,1373233020,1311
3485850,3338896,3319112,2974497,1374809280,1310
3485850,3338896,2974497,3319112,1373233080,1310
3485575,3338655,3319112,2974497,1375094340,1309
3485575,3338655,2974497,3319112,1373233080,1309
3485162,3338293,3319111,2974497,1374586620,1308
3485162,3338293,2974497,3319111,1373232060,1308
3483743,3336937,3319112,2974497,1377265860,1306
3483743,3336937,2974497,3319112,1373233080,1306
3483371,3336577,3319112,2974497,1373900460,1304
3483371,3336577,2974497,3319112,1373233080,1304
3482659,3335878,3319111,2974497,1374843540,1302
3482659,3335878,2974497,3319111,1373232060,1302
3480443,3333841,2974497,3319112,1373233140,1300
3480195,3333603,3319111,2974497,1374530820,1299
3480195,3333603,2974497,3319111,1373232060,1299
3479584,3333014,3319112,2974497,1374529680,1298
3479584,3333014,2974497,3319112,1373233140,1298
3479494,3332924,2974497,3319111,1373232000,1297
3479018,3332462,3319112,2974497,1374599820,1296
3479018,3332462,2974497,3319112,1373233140,1296
3477571,3331054,3319112,2974497,1374575400,1293
3477571,3331054,2974497,3319112,1373233200,1293
3477429,3330915,3319111,2974497,1377513540,1292
3477429,3330915,3319112,3319111,1374532560,1292
3477429,3330915,2974497,3319112,1373233200,1292
3477399,3330885,3319112,2974497,1374008700,1291
3477399,3330885,2974497,3319112,1373233200,1291
3477187,3330649,3319111,2974497,1377264300,1290
3477187,3330649,2974497,3319111,1373232000,1290
3476600,3330072,3319111,2974497,1375532700,1288
3476600,3330072,2974497,3319111,1373232000,1288
3476424,3329908,3319112,2974497,1373404320,1287
3476424,3329908,2974497,3319112,1373233200,1287
