id,cust_id,type,description,timestamp
56762,342,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1377630600
56761,342,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1377630600
45610,394,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Lite"",""imported"":true}",1376265600
52755,394,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Lite"",""imported"":true}",1376265600
45420,397,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Lite"",""imported"":true}",1383004800
52565,397,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Lite"",""imported"":true}",1383004800
45634,415,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Pro"",""imported"":true}",1374192000
52779,415,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Pro"",""imported"":true}",1374192000
5271,428,login,Login to ,1376943812
5270,428,login,Login to ,1376943812
55735,451,Downgraded plan,"{""to_plan"":""Free-with-credit-card"",""from_plan"":""Agency"",""imported"":true}",1373301060
55733,451,Downgraded plan,"{""to_plan"":""Free-with-credit-card"",""from_plan"":""Agency"",""imported"":true}",1373301060
55695,474,Downgraded plan,"{""to_plan"":""Free-with-credit-card"",""from_plan"":""Agency"",""imported"":true}",1373941920
55693,474,Downgraded plan,"{""to_plan"":""Free-with-credit-card"",""from_plan"":""Agency"",""imported"":true}",1373941920
55699,474,Downgraded plan,"{""to_plan"":""Free-with-credit-card"",""from_plan"":""Agency"",""imported"":true}",1373941740
55697,474,Downgraded plan,"{""to_plan"":""Free-with-credit-card"",""from_plan"":""Agency"",""imported"":true}",1373941740
6223,498,login,Login to ,1377183276
6222,498,login,Login to ,1377183276
45544,511,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Lite"",""imported"":true}",1379548800
52689,511,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Lite"",""imported"":true}",1379548800
56308,564,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1374682500
56307,564,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1374682500
57052,608,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380046860
57053,608,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380046860
57051,608,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380046860
57053,608,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380046860
57051,608,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380046860
57052,608,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380046860
45507,637,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Pro"",""imported"":true}",1381104000
52652,637,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Pro"",""imported"":true}",1381104000
45492,683,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Pro"",""imported"":true}",1381363200
52637,683,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Pro"",""imported"":true}",1381363200
57791,692,Was sent email,"{""ip"":false}",1384862434
57790,692,Was sent email,"{""ip"":false}",1384862434
56917,847,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1379624040
56916,847,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1379624040
56891,874,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1378741500
56890,874,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1378741500
56696,899,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1377279720
56695,899,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1377279720
57071,912,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380129660
57072,912,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380129660
57070,912,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380129660
57072,912,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380129660
57070,912,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380129660
57071,912,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380129660
56698,914,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1377280020
56697,914,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1377280020
57049,934,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380041760
57048,934,Refunded,"{""total_amount_refunded"":-29,""imported"":true}",1380041760
56850,968,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1378248420
56849,968,Refunded,"{""total_amount_refunded"":-99,""imported"":true}",1378248420
40942,1111,Was sent email,,1384261211
40941,1111,Was sent email,,1384261211
43805,1111,Was sent email,"{""ip"":false}",1384606819
43804,1111,Was sent email,"{""ip"":false}",1384606819
44654,1111,Was sent email,"{""ip"":false}",1384779627
44653,1111,Was sent email,"{""ip"":false}",1384779627
7447,1151,login,Login to profile.php,1377551406
7446,1151,login,Login to profile.php,1377551406
45833,1185,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369094400
52978,1185,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369094400
45832,1186,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369094400
52977,1186,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369094400
45831,1187,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369094400
52976,1187,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369094400
45830,1188,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369094400
52975,1188,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369094400
45829,1189,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
52974,1189,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
45828,1191,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
52973,1191,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
45827,1192,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
52972,1192,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
45826,1193,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
52971,1193,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
45825,1194,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
52970,1194,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
45824,1195,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52969,1195,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45823,1196,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52968,1196,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45822,1197,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52967,1197,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45821,1198,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
