cohort,cust_id,org_id
1,15174,14881
1,15164,14873
1,15130,14839
1,15116,14825
1,15105,14814
1,15091,14800
1,15079,14788
1,15061,14770
1,15046,14755
1,15042,14751
1,15025,14734
1,15012,14721
1,15008,14717
1,14987,14696
1,14985,14694
1,14984,14693
1,14982,14691
1,14929,14642
1,14911,14625
1,14890,14604
1,14884,14598
1,14876,14590
1,14874,14588
1,14862,14576
1,14849,14568
1,14839,14559
1,14832,14552
1,14830,14550
1,14801,14522
1,14771,14494
1,14761,14484
1,14758,14481
1,14744,14467
1,14732,14456
1,14726,14450
1,14717,14441
1,14711,14435
1,14706,14430
1,14701,14425
1,14691,14415
1,14685,14409
1,14681,14405
1,14677,14401
1,14673,14397
1,14662,14386
1,14653,14377
1,14648,14372
1,14624,14348
1,14619,14343
1,14617,14341
1,14600,14324
1,14590,14314
1,14587,14311
1,14583,14307
1,14559,14283
1,14532,14256
1,14501,14225
1,14492,14216
1,14467,14193
1,14458,14184
1,14439,14165
1,14409,14135
1,14408,14134
1,14402,14128
1,14393,14119
1,14358,14084
1,14355,14081
1,14346,14072
1,14325,14051
1,14313,14039
1,14307,14033
1,14303,14029
1,14296,14022
1,14289,14015
1,14266,13992
1,14256,13982
1,14246,13972
1,14242,13968
1,14241,13967
1,14227,13953
1,14217,13943
1,14199,13925
1,14192,13918
1,14189,13915
1,14181,13907
1,14177,13903
1,14160,13887
1,14116,13844
1,14115,13843
1,14096,13825
1,14068,13799
1,14064,13795
1,14044,13775
1,14039,13771
1,14038,13770
1,14035,13767
1,14034,13766
1,14031,13763
1,14028,13760
1,14003,13735
1,13975,13707
1,13969,13701
1,13967,13699
1,13956,13688
1,13940,13672
1,13936,13668
1,13929,13661
1,13913,13645
1,13900,13632
1,13888,13620
1,13834,13566
1,13830,13562
1,13825,13557
1,13824,13556
1,13821,13553
1,13803,13535
1,13800,13532
1,13791,13523
1,13788,13520
1,13787,13519
1,13771,13502
1,13756,13487
1,13738,13469
1,13737,13468
1,13735,13466
